Anacahuita,MONTEVIDEO
Padre José A Novoa II,MONTEVIDEO
Caif El Alfarero Cooperativo II,MONTEVIDEO
Gruta de Lourdes,MONTEVIDEO
Centro Infantil Nuestra Señora De  Lourdes II,MONTEVIDEO
Casa Soles,MONTEVIDEO
CAIF Pereira Rossell,MONTEVIDEO
Creare,MONTEVIDEO
Betum-Deti,MONTEVIDEO
Panambi,MONTEVIDEO
Centro de Desarrollo Infantil Seis de diciembre,MONTEVIDEO
Malala,MONTEVIDEO
Itamby,MONTEVIDEO
Nuevo Panambi,MONTEVIDEO
Unaluna,MONTEVIDEO
Arazá,MONTEVIDEO
Los Bosquitos,MONTEVIDEO
Mailhos,MONTEVIDEO
Pequeña Semilla,MONTEVIDEO
El Mamboretá,MONTEVIDEO
Mainumbi,MONTEVIDEO
Santa Mónica del Este,MONTEVIDEO
Mamá Margarita,MONTEVIDEO
MAYMA,MONTEVIDEO
Picasso,MONTEVIDEO
Nuevo Ellauri,MONTEVIDEO
Meleté II,MONTEVIDEO
CAIF Kelé Kelé,MONTEVIDEO
Acuarela Santa Catalina,MONTEVIDEO
Los Delfines II,MONTEVIDEO
Trisquel,MONTEVIDEO
Kalimbaue,MONTEVIDEO
IANAI,MONTEVIDEO
CAIF Guidaí,MONTEVIDEO
Amimbi II,MONTEVIDEO
Caif Baporetí,MONTEVIDEO
Olegario II,MONTEVIDEO
Nuevas Generaciones,MONTEVIDEO
CAIF El Nido,MONTEVIDEO
CAIF Montserrat II,MONTEVIDEO
Caif Providencia,MONTEVIDEO
CAIF Sembrando Camino,MONTEVIDEO
CAIF ABAYUBA,MONTEVIDEO
Construyendo el Presente,MONTEVIDEO
Índigo,MONTEVIDEO
Don Bosco,PAYSANDÚ
Sonrisitas,PAYSANDÚ
Capalgui,PAYSANDÚ
Los Indiecitos,PAYSANDÚ
Las Hojitas Viajeras,PAYSANDÚ
San José Obrero,PAYSANDÚ
Las Naranjitas Verdes,PAYSANDÚ
Gurisitos,PAYSANDÚ
Infantil Independencia,PAYSANDÚ
Los Pasitos,PAYSANDÚ
Nuestra Señora De Fátima,PAYSANDÚ
San Agustín,PAYSANDÚ
Pintando Soles,PAYSANDÚ
Centro,PAYSANDÚ
Artigas III,PAYSANDÚ
Purificación,PAYSANDÚ
Norte,PAYSANDÚ
Nuevo Paysandú,PAYSANDÚ
Porvenir,PAYSANDÚ
San Félix,PAYSANDÚ
Rayitos de Sol Quebracho,PAYSANDÚ
Enanitos Verdes - CAFFI,PAYSANDÚ
Ardillitas Paysandú,PAYSANDÚ
Doña Armelinda ADL,PAYSANDÚ
Caif Gotitas de Rocío,PAYSANDÚ
Aldeas Infantiles Paysandú,PAYSANDÚ
Osito Feliz,RIO NEGRO
Los Macachines,RIO NEGRO
El Trencito,RIO NEGRO
Las Ranitas,RIO NEGRO
Los Pitufos Rio Negro,RIO NEGRO
Corazón,RIO NEGRO
Abejitas,RIO NEGRO
Las Canteras,RIO NEGRO
Younguito,RIO NEGRO
Galubki,RIO NEGRO
Caritas Felices,RIO NEGRO
Caif Anglo,RIO NEGRO
Canteras Mafalda,RIO NEGRO
Los Patitos Rivera,RIVERA
Renacer I,RIVERA
Renacer 2,RIVERA
Treinta y Tres Orientales,RIVERA
Mi Salita,RIVERA
El Ombú,RIVERA
Ventanita Feliz I,RIVERA
Esperanza,RIVERA
Cerro Caquero,RIVERA
Hormiguitas de Vida Nueva,RIVERA
La Pedrera De Rivera,RIVERA
Tranqueritas  II,RIVERA
CAIF Santa Isabel,RIVERA
Obra Social Mandubí II,RIVERA
Desde lo Alto,RIVERA
Mariamol,RIVERA
Tres Cruces,RIVERA
Caminito,ROCHA
Artigas,ROCHA
Artigas II,ROCHA
Centro Infantil Palmareño,ROCHA
La Murguita,ROCHA
Noctilucas,ROCHA
Arrozalito Cebollati,ROCHA
Conejitos,ROCHA
El Ombú De Rocha,ROCHA
Rayuela,ROCHA
Pececitos de Colores,ROCHA
Caracolitos,ROCHA
El Cupi,ROCHA
San Miguel Rocha II,ROCHA
CAIF Los Girasoles,ROCHA
Anawin II,ROCHA
TATETI,ROCHA
Maternal Barrio Williams,SALTO
Obra Social Don Bosco,SALTO
Mi Refugio,SALTO
Nuestra Sra. Del Rosario,SALTO
Karen Malvasio,SALTO
Nuestra Señora De Fátima,SALTO
Pequeños Brillantes,SALTO
Nuestra Señora de Guadalupe,SALTO
El Saladito,SALTO
Ntra.Señora Del Luján,SALTO
Santa Filomena,SALTO
Rincón de Niños Y Niñas,SALTO
Pajaritos,SALTO
Felices los Niños II,SALTO
Colonia 18 de Julio,SALTO
San Antonio,SALTO
Los Gallitos II,SALTO
Nuevo Uruguay,SALTO
Pequeños Angelitos,SALTO
San Eduardo,SALTO
Salto Nuevo Sur,SALTO
Nuevo Don Atilio,SALTO
Horacio Quiroga III,SALTO
Río Uruguay  II,SALTO
Nuevo Amanecer Salto,SALTO
Upalala Ceibal Sur,SALTO
Rincón Infantil,SAN JOSÉ
La Calesita,SAN JOSÉ
Placita 4 de Octubre,SAN JOSÉ
Los Maragatitos,SAN JOSÉ
Arcoiris San José,SAN JOSÉ
Madre Teresa,SAN JOSÉ
María Auxiliadora,SAN JOSÉ
Lucerito,SAN JOSÉ
Sol y Luna  I,SAN JOSÉ
Chiquilladas,SAN JOSÉ
Rincón de Luz,SAN JOSÉ
Los Colonitos,SAN JOSÉ
El Ceibo,SAN JOSÉ
Cupacam,SAN JOSÉ
Acuarela San José,SAN JOSÉ
Desde el Pie,SAN JOSÉ
Acurruco,SAN JOSÉ
Caif Anambé,SAN JOSÉ
Unión Pro-Guardería Infantil,SORIANO
Barrio 33 Orientales,SORIANO
Los Pitufos  Soriano,SORIANO
Las Ardillitas,SORIANO
Las Chispitas II,SORIANO
Bichitos de Luz,SORIANO
Mis Primeros Pasitos,SORIANO
Jesús María Habilitado IV,SORIANO
Adelante,SORIANO
Cunitas II,SORIANO
Rinconcito de Luz II,SORIANO
Nuestra Placita,SORIANO
Del Oeste III,SORIANO
Estrellitas de Colores,SORIANO
Las Palmitas,SORIANO
Rissitas Mágicas,SORIANO
Años Magicos,SORIANO
Diurno Infantil,TACUAREMBÓ
Villa Ansina,TACUAREMBÓ
Cuchilla de la Gloria,TACUAREMBÓ
Los Toritos,TACUAREMBÓ
Maravillas,TACUAREMBÓ
El Pollito Azul,TACUAREMBÓ
Semillitas de Alegría,TACUAREMBÓ
Pasito Central,TACUAREMBÓ
Santa Isabel,TACUAREMBÓ
Nazarenito,TACUAREMBÓ
La Colmenita,TACUAREMBÓ
Los Molles,TACUAREMBÓ
San Vicente,TACUAREMBÓ
Cardito Azul,TACUAREMBÓ
Charaboncitos,TACUAREMBÓ
Mojarritas del Hum,TACUAREMBÓ
Sembrando,TACUAREMBÓ
Garabatos  TACUAREMBÓ,TACUAREMBÓ
Sansueña,TACUAREMBÓ
Los Naranjitos,TREINTA Y TRES
Villa Sara,TREINTA Y TRES
Lavalleja,TREINTA Y TRES
Azahares,TREINTA Y TRES
Caminito Santa Clara,TREINTA Y TRES
Centro CAIF El Ceibo De Vergara,TREINTA Y TRES
Pequeño Dionisio  I,TREINTA Y TRES
Don Vicente,TREINTA Y TRES
Don Lorenzo,TREINTA Y TRES
Primero la Infancia,TREINTA Y TRES
Juana Quinela II,TREINTA Y TRES
Santa María II,TREINTA Y TRES
El Arrayán,TREINTA Y TRES
