NOMBRE DEL CENTRO
Educativo Borocotó
Casita de María
Hormiguitas
Los Caramelos Jardín
Los Fueguitos
Nuevo París
Ventura
Santa Clara
Catalina Parma de Beisso
Centro Morel
Girasol
Mi Casita Ciudad Vieja
Libemor
Macachín
Virgen Niña
Creciendo
Nueva Vida
Maracanitos
Esperanza Bella Italia
Basquadé
Rinconcito
Nuevos Rumbos
Ruteritos
Mausa
Rincón del Cerro
Centro Educativo  Espigas
Caritas Felices
Rincón del Sol
Niño Jesús
Hogar Hermana Laura
Los Molineritos
Ventura II
Padre Alberto Hurtado
El Coyote
Mensajeros de la Paz
Sonrisas
Timbal
Ventura III
Los Pitufos I
CADI III
Mensajeros de la Paz II
Luceritos
Daju Bilu II
Tierra Nueva
Ctro Latinoamericano de Investigación Educ y Prom Social
El Alfarero Cooperativo
Campo de los Milagros II
Padre Víctor
Tranvía del Oeste
Pyporé
Sembrando Huellas
Mariposas II
Misión Padre Dehón
Las Margaritas
Verdisol
Casilda
Los Suritos
La Grulla
Anacahuita
Padre José A Novoa II
Caif El Alfarero Cooperativo II
Gruta de Lourdes
Centro Infantil Nuestra Señora De  Lourdes II
Casa Soles
CAIF Pereira Rossell
Creare
Betum-Deti
Panambi
Centro de Desarrollo Infantil Seis de diciembre
Malala
Itamby
Nuevo Panambi
Unaluna
Arazá
Los Bosquitos
Mailhos
Pequeña Semilla
El Mamboretá
Mainumbi
Santa Mónica del Este
Mamá Margarita
MAYMA
Picasso
Nuevo Ellauri
Meleté II
CAIF Kelé Kelé
Acuarela Santa Catalina
Los Delfines II
Trisquel
Kalimbaue
IANAI
CAIF Guidaí
Amimbi II
Caif Baporetí
Olegario II
Nuevas Generaciones
CAIF El Nido
CAIF Montserrat II
Caif Providencia
CAIF Sembrando Camino
CAIF ABAYUBA
Construyendo el Presente
Índigo
Don Bosco
Sonrisitas
Capalgui
Los Indiecitos
Las Hojitas Viajeras
San José Obrero
Las Naranjitas Verdes
Gurisitos
Infantil Independencia
Los Pasitos
Nuestra Señora De Fátima
San Agustín
Pintando Soles
Centro
Artigas III
Purificación
Norte
Nuevo Paysandú
Porvenir
San Félix
Rayitos de Sol Quebracho
Enanitos Verdes - CAFFI
Ardillitas Paysandú
Doña Armelinda ADL
Caif Gotitas de Rocío
Aldeas Infantiles Paysandú
Osito Feliz
Los Macachines
El Trencito
Las Ranitas
Los Pitufos Rio Negro
Corazón
Abejitas
Las Canteras
Younguito
Galubki
Caritas Felices
Caif Anglo
Canteras Mafalda
Los Patitos Rivera
Renacer I
Renacer 2
Treinta y Tres Orientales
Mi Salita
El Ombú
Ventanita Feliz I
Esperanza
Cerro Caquero
Hormiguitas de Vida Nueva
La Pedrera De Rivera
Tranqueritas  II
CAIF Santa Isabel
Obra Social Mandubí II
Desde lo Alto
Mariamol
Tres Cruces
Caminito
Artigas
Artigas II
Centro Infantil Palmareño
La Murguita
Noctilucas
Arrozalito Cebollati
Conejitos
El Ombú De Rocha
Rayuela
Pececitos de Colores
Caracolitos
El Cupi
San Miguel Rocha II
CAIF Los Girasoles
Anawin II
TATETI
Maternal Barrio Williams
Obra Social Don Bosco
Mi Refugio
Nuestra Sra. Del Rosario
Karen Malvasio
Nuestra Señora De Fátima
Pequeños Brillantes
Nuestra Señora de Guadalupe
El Saladito
Ntra.Señora Del Luján
Santa Filomena
Rincón de Niños Y Niñas
Pajaritos
Felices los Niños II
Colonia 18 de Julio
San Antonio
Los Gallitos II
Nuevo Uruguay
Pequeños Angelitos
San Eduardo
Salto Nuevo Sur
Nuevo Don Atilio
Horacio Quiroga III
Río Uruguay  II
Nuevo Amanecer Salto
Upalala Ceibal Sur
Rincón Infantil
La Calesita
Placita 4 de Octubre
Los Maragatitos
Arcoiris San José
Madre Teresa
María Auxiliadora
Lucerito
Sol y Luna  I
Chiquilladas
Rincón de Luz
Los Colonitos
El Ceibo
Cupacam
Acuarela San José
Desde el Pie
Acurruco
Caif Anambé
Unión Pro-Guardería Infantil
Barrio 33 Orientales
Los Pitufos  Soriano
Las Ardillitas
Las Chispitas II
Bichitos de Luz
Mis Primeros Pasitos
Jesús María Habilitado IV
Adelante
Cunitas II
Rinconcito de Luz II
Nuestra Placita
Del Oeste III
Estrellitas de Colores
Las Palmitas
Rissitas Mágicas
Años Magicos
Diurno Infantil
Villa Ansina
Cuchilla de la Gloria
Los Toritos
Maravillas
El Pollito Azul
Semillitas de Alegría
Pasito Central
Santa Isabel
Nazarenito
La Colmenita
Los Molles
San Vicente
Cardito Azul
Charaboncitos
Mojarritas del Hum
Sembrando
Garabatos  TACUAREMBÓ
Sansueña
Los Naranjitos
Villa Sara
Lavalleja
Azahares
Caminito Santa Clara
Centro CAIF El Ceibo De Vergara
Pequeño Dionisio  I
Don Vicente
Don Lorenzo
Primero la Infancia
Juana Quinela II
Santa María II
El Arrayán
